Belmont Park Race # 1, 1:00 PM, 1 1/16M, Dirt, Maiden Special Weight, Purse: $90,000
Belmont Park Race # 2, 1:32 PM, 1 1/16M, Inner turf, $50,000 Starter Allowance, Purse: $60,000
Belmont Park Race # 3, 2:03 PM, 6F, Dirt, $40,000 Maiden Claiming, Purse: $45,000
Belmont Park Race # 4, 2:32 PM, 7F, Turf, $45,000 Allowance Optional Claiming, Purse: $85,000
Belmont Park Race # 5, 3:03 PM, 1 1/16M, Inner turf, $40,000 Maiden Claiming, Purse: $45,000
Belmont Park Race # 6, 3:34 PM, 1 1/16M, Dirt, Allowance, Purse: $92,000
Belmont Park Race # 7, 4:08 PM, 1M, Turf, $62,500 Allowance Optional Claiming, Purse: $94,000
Belmont Park Race # 8, 4:40 PM, 6F, Dirt, Gold Fever S., Purse: $100,000
Belmont Park Race # 9, 5:12 PM, 6F, Inner turf, $40,000 Maiden Claiming, Purse: $45,000
Belmont Park Race # 1, 1:00 PM, 1 1/16M, Dirt, Maiden Special Weight, Purse: $90,000
Belmont Park Race # 2, 1:32 PM, 1 1/16M, Inner turf, $50,000 Starter Allowance, Purse: $60,000
Belmont Park Race # 3, 2:03 PM, 6F, Dirt, $40,000 Maiden Claiming, Purse: $45,000
Belmont Park Race # 4, 2:32 PM, 7F, Turf, $45,000 Allowance Optional Claiming, Purse: $85,000
Belmont Park Race # 5, 3:03 PM, 1 1/16M, Inner turf, $40,000 Maiden Claiming, Purse: $45,000
Belmont Park Race # 6, 3:34 PM, 1 1/16M, Dirt, Allowance, Purse: $92,000
Belmont Park Race # 7, 4:08 PM, 1M, Turf, $62,500 Allowance Optional Claiming, Purse: $94,000
Belmont Park Race # 8, 4:40 PM, 6F, Dirt, Gold Fever S., Purse: $100,000
Belmont Park Race # 9, 5:12 PM, 6F, Inner turf, $40,000 Maiden Claiming, Purse: $45,000
